START_OF_15MIN_EET,RES_LIMIT,AVAILABLE_GENERATION
11-08-24 14:00,2300,2285
11-08-24 14:15,2300,2296
11-08-24 14:30,2300,2240
11-08-24 14:45,2300,2313
11-08-24 15:00,2300,2287
11-08-24 15:15,2300,2285
11-08-24 15:30,2519,2340
11-08-24 15:45,2600,2525
11-08-24 16:00,2851,2491
11-08-24 16:15,6500,2979
12-08-24 11:15,8704,324
12-08-24 11:30,2950,2970
12-08-24 11:45,2950,2932
12-08-24 12:00,2779,2791
12-08-24 12:15,2750,2735
12-08-24 12:30,2750,2696
12-08-24 12:45,2750,2745
12-08-24 13:00,2750,2741
12-08-24 13:15,2820,2639
12-08-24 13:30,7968,2572
24-08-24 11:30,8813,265
24-08-24 11:45,2000,1962
24-08-24 12:00,2000,1857
24-08-24 12:15,2000,2011
24-08-24 12:30,2000,1802
24-08-24 12:45,2000,1918
24-08-24 13:00,2000,2060
24-08-24 13:15,2000,1871
24-08-24 13:30,6107,1926
25-08-24 9:30,6420,794
25-08-24 9:45,1716,1760
25-08-24 10:00,1609,1614
25-08-24 10:15,1216,1335
25-08-24 10:30,1200,1227
25-08-24 10:45,1200,1192
25-08-24 11:00,1200,1197
25-08-24 11:15,1200,1201
25-08-24 11:30,1001,1086
25-08-24 11:45,1000,997
25-08-24 12:00,1000,1000
25-08-24 12:15,1000,979
25-08-24 12:30,1000,1013
25-08-24 12:45,1000,1101
25-08-24 13:00,1000,946
25-08-24 13:15,1000,978
25-08-24 13:30,1000,1060
25-08-24 13:45,1000,1010
25-08-24 14:00,1000,977
25-08-24 14:15,1000,1045
25-08-24 14:30,1000,978
25-08-24 14:45,1300,1238
25-08-24 15:00,1664,1517
25-08-24 15:15,1940,1799
25-08-24 15:30,2000,1966
25-08-24 15:45,2000,1988
25-08-24 16:00,3216,1994
01-09-24 11:00,6988,552
01-09-24 11:15,1669,1675
01-09-24 11:30,1600,1580
01-09-24 11:45,1502,1565
01-09-24 12:00,1400,1442
01-09-24 12:15,1400,1384
01-09-24 12:30,1400,1399
01-09-24 12:45,1400,1373
01-09-24 13:00,1212,1245
01-09-24 13:15,1200,1222
01-09-24 13:30,1200,1180
01-09-24 13:45,956,1067
01-09-24 14:00,800,894
01-09-24 14:15,800,778
01-09-24 14:30,609,632
01-09-24 14:45,600,562
01-09-24 15:00,600,595
01-09-24 15:15,600,594
01-09-24 15:30,600,594
01-09-24 15:45,600,595
01-09-24 16:00,668,625
01-09-24 16:15,821,783
01-09-24 16:30,1000,949
01-09-24 16:45,1180,1088
01-09-24 17:00,1613,1344
01-09-24 17:15,5160,1459
07-09-24 12:00,4077,889
07-09-24 12:15,1200,1192
07-09-24 12:30,1200,1189
07-09-24 12:45,1200,1191
07-09-24 13:00,1200,1142
07-09-24 13:15,1348,1250
07-09-24 13:30,1400,1370
07-09-24 13:45,8730,1507
08-09-24 9:45,7191,518
08-09-24 10:00,1835,1782
08-09-24 10:15,1717,1666
